 len-max , id , size , rec-count , len-min , len-avg , rec-dim , name , created , modified , bases-count , 
301,531969,115129904,253157,35,198,252046, HMB01-1_R1 , 2016-05-05 15:24:04-04:00 , 2017-03-22 21:04:30-04:00 ,50300269, 
301,531968,116317166,253157,35,201,252179, HMB01-1_R2 , 2016-05-05 15:23:49-04:00 , 2017-03-22 21:04:30-04:00 ,50893900, 
301,531967,81321350,157607,35,229,157264, HMB01-2_R1 , 2016-05-05 15:23:44-04:00 , 2017-03-22 21:04:30-04:00 ,36137995, 
301,531966,82639472,157607,35,233,157402, HMB01-2_R2 , 2016-05-05 15:23:13-04:00 , 2017-03-22 21:04:31-04:00 ,36797056, 
301,531965,106245145,181715,35,263,181439, HMB01-3_R1 , 2016-05-05 15:21:58-04:00 , 2017-03-22 21:04:31-04:00 ,47908058, 
301,531964,107233783,181715,35,266,181613, HMB01-3_R2 , 2016-05-05 15:21:08-04:00 , 2017-03-22 21:04:31-04:00 ,48402377, 
301,545748,430664849,673516,35,283,665346, HMB06-1_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:31-04:00 ,190618956, 
301,545747,431936759,673516,35,283,671903, HMB06-1_R2 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:32-04:00 ,191254911, 
301,545746,340606782,537496,35,280,531639, HMB06-2_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:32-04:00 ,150581015, 
301,545745,341526754,537496,35,281,535942, HMB06-2_R2 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:32-04:00 ,151041001, 
301,545744,337976976,518010,35,289,515062, HMB06-3_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:32-04:00 ,149980850, 
301,545743,338543640,518010,35,290,517410, HMB06-3_R2 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:33-04:00 ,150264182, 
301,545742,296783369,457676,35,287,454608, HMB14-1_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:33-04:00 ,131598041, 
301,545741,297333845,457676,35,288,456979, HMB14-1_R2 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:33-04:00 ,131873279, 
301,545740,296306995,465240,35,281,463611, HMB14-2_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:34-04:00 ,131082768, 
301,545739,297145327,465240,35,282,464733, HMB14-2_R2 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:34-04:00 ,131501934, 
301,545738,328145933,509450,35,285,506591, HMB14-3_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:34-04:00 ,145379509, 
301,545737,329016129,509450,35,286,508730, HMB14-3_R2 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:34-04:00 ,145814607, 
301,545736,273900775,426807,35,284,423083, HMB18-1_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:35-04:00 ,121290041, 
301,545735,275184887,426807,35,285,426480, HMB18-1_R2 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:35-04:00 ,121932097, 
301,545734,224791015,350864,35,283,348700, HMB18-2_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:35-04:00 ,99522032, 
301,545733,225793485,350864,35,285,350528, HMB18-2_R2 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:35-04:00 ,100023267, 
301,545732,347778660,539644,35,285,535784, HMB18-3_R1 , 2016-11-21 15:42:47-05:00 , 2017-03-22 21:04:35-04:00 ,154089130, 
301,545731,349072886,539644,35,286,539213, HMB18-3_R2 , 2016-11-21 15:42:46-05:00 , 2017-03-22 21:04:36-04:00 ,154736243, 
