id,Reference,Hits,Hits Unique,Length
0,"Unaligned",6305805,6305805,
9004671,"gi|149931032|gb|CP000139.1| Bacteroides vulgatus ATCC 8482, complete genome",2452,2452,5163189
21539837,"gi|295083795|emb|FP929033.1| Bacteroides xylanisolvens XB1A draft genome",617,617,5976145
19240004,"gi|29342101|gb|AE015928.1| Bacteroides thetaiotaomicron VPI-5482, complete genome",338,338,6260361
1243262,"gi|295102939|emb|FP929046.1| Faecalibacterium prausnitzii SL3/3 draft genome",294,294,3214418
18741900,"gi|324310566|gb|CP002544.1| Odoribacter splanchnicus DSM 20712, complete genome",275,275,4392288
6878559,"gi|571257415|emb|HF545616.1| Ruminococcus bicirculans chromosome I, complete genome",236,236,2240877
1572969,"gi|671709398|gb|CP007619.1| Bacteroides dorei isolate HS1_L_1_B_010, complete genome",225,225,5729085
14027417,"gi|295100182|emb|FP929045.1| Faecalibacterium prausnitzii L2/6 draft genome",172,172,3321367
9501121,"gi|390421916|gb|CP003274.1| Alistipes finegoldii DSM 17242, complete genome",137,137,3734239
18693111,"gi|291558333|emb|FP929061.1| Clostridiales sp. SSC/2 draft genome",132,132,3114788
5608853,"gi|149935098|gb|CP000140.1| Parabacteroides distasonis ATCC 8503, complete genome",121,121,4811379
1307574,"gi|671713918|gb|CP008741.1| Bacteroides dorei isolate HS1_L_3_B_079, complete genome",107,107,5243219
336818,"gi|291548560|emb|FP929055.1| Ruminococcus torques L2-14 draft genome",85,85,3341681
18062853,"gi|571259379|emb|HF545617.1| Ruminococcus bicirculans chromosome II, complete genome",77,77,727623
20758482,"gi|291523683|emb|FP929042.1| Eubacterium rectale DSM 17629 draft genome",63,63,3344951
17530582,"gi|291526582|emb|FP929043.1| Eubacterium rectale M104/1 draft genome",55,55,3698419
9589945,"gi|291541372|emb|FP929051.1| Ruminococcus bromii L2-63 draft genome",53,53,2249085
18518873,"gi|291545299|emb|FP929053.1| Ruminococcus sp. SR1/5 draft genome",52,52,3545606
18381426,"gi|291556121|emb|FP929059.1| Eubacterium siraeum V10Sc8a draft genome",50,50,2836123
22067907,"gi|52214156|dbj|AP006841.1| Bacteroides fragilis YCH46 DNA, complete genome",46,46,5277274
18879180,"gi|291561105|emb|FP929062.1| Clostridiales sp. SS3/4 draft genome",46,46,3601020
6747852,"gi|238874104|gb|CP001107.1| Eubacterium rectale ATCC 33656, complete genome",44,44,3449685
6784351,"gi|345500446|gb|CP003040.1| Roseburia hominis A2-183, complete genome",40,40,3592125
19667764,"gi|295107714|emb|FP929054.1| Ruminococcus obeum A2-162 draft genome",38,38,3757491
15795192,"gi|291513545|emb|FP929032.1| Alistipes shahii WAL 8301 draft genome",33,33,3763317
13024965,"gi|686511930|gb|CP006828.1| Ornithobacterium rhinotracheale ORT-UMN 88, complete genome",32,32,2397867
14923809,"gi|291520697|emb|FP929038.1| Coprococcus catus GD/7 draft genome",29,29,3522704
19246829,"gi|576019682|gb|JQ995537.1| Uncultured phage crAssphage, complete genome",29,29,97065
6363959,"gi|238871336|gb|CP001104.1| Eubacterium eligens ATCC 27750, complete genome",26,26,2144190
10216097,"gi|291529795|emb|FP929044.1| Eubacterium siraeum 70/3 draft genome",26,26,2943413
