Accession,TaxID,Name,Reason,NT,#code,initals,date
AY394560.1,195," Campylobacter coli plasmid pCC31, complete sequence.",plasmid w/ bad liniage, NT_3.1,#plasmid,,
LM995474,562," Escherichia coli genome assembly FHI11, scaffold scaffold-20_contig-4",, NT_3.1,#Scaffold #Partial Genome #Top Level Tax,hk,1/31/17
LM995703.1 ,562," Escherichia coli genome assembly FHI27, scaffoldscaffold-26_contig-1.0_1_724274_[organism:Escherichia. ",Unresolved E.coli, NT_3.1,#unresolved_tax,,
LM995769.1,562," Escherichia coli genome assembly FHI28, scaffoldscaffold-6_contig-15.0_1_2284_[organism:Escherichia. ",Unresolved E.coli, NT_3.1,#unresolved_tax,,
LM995856.1 ,562," Escherichia coli genome assembly FHI29, scaffoldscaffold-16_contig-6.0_1_214224_[organism:Escherichia. ",Unresolved E.coli, NT_3.1,#unresolved_tax,,
LM995939,562," Escherichia coli genome assembly FHI4, scaffold scaffold-26_contig-7",, NT_3.1,#Scaffold #Partial Genome #Top Level Tax #unresolved_tax,hk,1/30/17
LM996054,562," Escherichia coli genome assembly FHI43, scaffold scaffold-3_contig-14",, NT_3.1,#Scaffold #Partial Genome #Top Level Tax,hk,1/24/17
LM996072,562," Escherichia coli genome assembly FHI43, scaffold scaffold-13_contig-4",, NT_3.1,#Scaffold #Partial Genome #Top Level Tax,hk,1/25/17
LM996363,562," Escherichia coli genome assembly FHI6, scaffold scaffold-28_contig-5",, NT_3.1,#Scaffold #Partial Genome #Top Level Tax,hk,1/28/17
LM996494,562," Escherichia coli genome assembly FHI34, scaffold scaffold-23_contig-2",, NT_3.1,#Scaffold #Partial Genome #Top Level Tax,hk,1/26/17
LM996646,562," Escherichia coli genome assembly FHI75, scaffold scaffold-23_contig-3",, NT_3.1,#Scaffold #Partial Genome #Top Level Tax,hk,1/27/17
LM996741,562," Escherichia coli genome assembly FHI8, scaffold scaffold-23_contig-10",, NT_3.1,#Scaffold #Partial Genome #Top Level Tax,hk,1/29/17
LM996882.1 ,562," Escherichia coli genome assembly FHI72, scaffoldscaffold-33_contig-0.1_44342_1130685_[organism:Escherichia. ",Unresolved E.coli, NT_3.1,#unresolved_tax,,
